lld,label,entropy,length
amnesty,0,2.807354922057604,7
s266,0,1.5,4
vsp,0,1.584962500721156,3
freedomain,0,3.121928094887362,10
gs,0,1.0,2
nikeairmax-90,0,3.3927474104487847,13
c-home2014,0,3.321928094887362,10
uggboots,0,2.5,8
www.connect,0,2.663532754804255,11
www.coachoutletfactoryonlinestores,0,3.7970421653407156,34
coachoutletfactoryonlinestores,0,3.602910079649727,30
park20,0,2.584962500721156,6
union,0,1.9219280948873623,5
its,0,1.584962500721156,3
ugg-australia,0,3.0269868333592873,13
futurerussia,0,2.8553885422075336,12
comment,0,2.5216406363433186,7
